club,league,season,name,granular,broad,annual,weekly,currency,minutes,starts,index,formation_mode,matched
athletic-club,laliga,2025-26,Iñaki Williams,W,FWD,11388,219,EUR,2630,23,3.1286,forced433,True
athletic-club,laliga,2025-26,Gorka Guruzeta,ST,FWD,2340,45,EUR,2600,22,0.6429,forced433,True
real-sociedad,laliga,2025-26,Álex Remiro,GK,GK,4680,90,EUR,2900,32,1.6364,actual,True
real-sociedad,laliga,2025-26,Hamari Traoré,FB,DEF,2340,45,EUR,2870,31,0.8182,actual,True
real-sociedad,laliga,2025-26,Igor Zubeldia,CB,DEF,3640,70,EUR,2840,30,1.2727,actual,True
real-sociedad,laliga,2025-26,Nayef Aguerd,CB,DEF,2860,55,EUR,2810,29,1.0,actual,True
real-sociedad,laliga,2025-26,Aihen Muñoz,FB,DEF,2080,40,EUR,2780,28,0.7273,actual,True
real-sociedad,laliga,2025-26,Beñat Turrientes,DM,MID,1560,30,EUR,2750,27,0.5455,actual,True
real-sociedad,laliga,2025-26,Brais Méndez,CM,MID,4160,80,EUR,2720,26,1.4545,actual,True
real-sociedad,laliga,2025-26,Luka Sučić,CM,MID,2860,55,EUR,2690,25,1.0,actual,True
real-sociedad,laliga,2025-26,Ander Barrenetxea,W,FWD,2340,45,EUR,2660,24,0.8182,actual,True
real-sociedad,laliga,2025-26,Takefusa Kubo,W,FWD,4680,90,EUR,2630,23,1.6364,actual,True
real-sociedad,laliga,2025-26,Mikel Oyarzabal,ST,FWD,6240,120,EUR,2600,22,2.1818,actual,True
real-sociedad,laliga,2025-26,Álex Remiro,GK,GK,4680,90,EUR,2900,32,1.6364,forced433,True
real-sociedad,laliga,2025-26,Igor Zubeldia,CB,DEF,3640,70,EUR,2840,30,1.2727,forced433,True
real-sociedad,laliga,2025-26,Nayef Aguerd,CB,DEF,2860,55,EUR,2810,29,1.0,forced433,True
real-sociedad,laliga,2025-26,Hamari Traoré,FB,DEF,2340,45,EUR,2870,31,0.8182,forced433,True
real-sociedad,laliga,2025-26,Aihen Muñoz,FB,DEF,2080,40,EUR,2780,28,0.7273,forced433,True
real-sociedad,laliga,2025-26,Beñat Turrientes,DM,MID,1560,30,EUR,2750,27,0.5455,forced433,True
real-sociedad,laliga,2025-26,Brais Méndez,CM,MID,4160,80,EUR,2720,26,1.4545,forced433,True
real-sociedad,laliga,2025-26,Luka Sučić,CM,MID,2860,55,EUR,2690,25,1.0,forced433,True
real-sociedad,laliga,2025-26,Ander Barrenetxea,W,FWD,2340,45,EUR,2660,24,0.8182,forced433,True
real-sociedad,laliga,2025-26,Takefusa Kubo,W,FWD,4680,90,EUR,2630,23,1.6364,forced433,True
real-sociedad,laliga,2025-26,Mikel Oyarzabal,ST,FWD,6240,120,EUR,2600,22,2.1818,forced433,True
real-betis,laliga,2025-26,Pau López,GK,GK,2860,55,EUR,2900,32,1.0,actual,True
real-betis,laliga,2025-26,Héctor Bellerín,FB,DEF,3120,60,EUR,2870,31,1.0909,actual,True
real-betis,laliga,2025-26,Marc Bartra,CB,DEF,2340,45,EUR,2840,30,0.8182,actual,True
real-betis,laliga,2025-26,Natan,CB,DEF,2600,50,EUR,2810,29,0.9091,actual,True
real-betis,laliga,2025-26,Junior Firpo,FB,DEF,2340,45,EUR,2780,28,0.8182,actual,True
real-betis,laliga,2025-26,Sofyan Amrabat,DM,MID,4680,90,EUR,2750,27,1.6364,actual,True
real-betis,laliga,2025-26,Marc Roca,CM,MID,2340,45,EUR,2720,26,0.8182,actual,True
real-betis,laliga,2025-26,Isco,AM,MID,5980,115,EUR,2690,25,2.0909,actual,True
real-betis,laliga,2025-26,Abde Ezzalzouli,W,FWD,2860,55,EUR,2660,24,1.0,actual,True
real-betis,laliga,2025-26,Antony,W,FWD,6240,120,EUR,2630,23,2.1818,actual,True
real-betis,laliga,2025-26,Cucho Hernández,ST,FWD,3640,70,EUR,2600,22,1.2727,actual,True
real-betis,laliga,2025-26,Pau López,GK,GK,2860,55,EUR,2900,32,1.0,forced433,True
real-betis,laliga,2025-26,Marc Bartra,CB,DEF,2340,45,EUR,2840,30,0.8182,forced433,True
real-betis,laliga,2025-26,Natan,CB,DEF,2600,50,EUR,2810,29,0.9091,forced433,True
real-betis,laliga,2025-26,Héctor Bellerín,FB,DEF,3120,60,EUR,2870,31,1.0909,forced433,True
real-betis,laliga,2025-26,Junior Firpo,FB,DEF,2340,45,EUR,2780,28,0.8182,forced433,True
real-betis,laliga,2025-26,Sofyan Amrabat,DM,MID,4680,90,EUR,2750,27,1.6364,forced433,True
real-betis,laliga,2025-26,Marc Roca,CM,MID,2340,45,EUR,2720,26,0.8182,forced433,True
real-betis,laliga,2025-26,Isco,CM,MID,5980,115,EUR,2690,25,2.0909,forced433,True
real-betis,laliga,2025-26,Abde Ezzalzouli,W,FWD,2860,55,EUR,2660,24,1.0,forced433,True
real-betis,laliga,2025-26,Antony,W,FWD,6240,120,EUR,2630,23,2.1818,forced433,True
real-betis,laliga,2025-26,Cucho Hernández,ST,FWD,3640,70,EUR,2600,22,1.2727,forced433,True
villarreal,laliga,2025-26,Luiz Júnior,GK,GK,2080,40,EUR,2900,32,0.6667,actual,True
villarreal,laliga,2025-26,Juan Foyth,FB,DEF,4004,77,EUR,2870,31,1.2833,actual,True
villarreal,laliga,2025-26,Logan Costa,CB,DEF,2080,40,EUR,2840,30,0.6667,actual,True
villarreal,laliga,2025-26,Rafa Marín,CB,DEF,2340,45,EUR,2810,29,0.75,actual,True
villarreal,laliga,2025-26,Alfonso Pedraza,FB,DEF,3328,64,EUR,2780,28,1.0667,actual,True
villarreal,laliga,2025-26,Santi Comesaña,DM,MID,2080,40,EUR,2750,27,0.6667,actual,True
villarreal,laliga,2025-26,Dani Parejo,CM,MID,3120,60,EUR,2720,26,1.0,actual,True
villarreal,laliga,2025-26,Thomas Partey,CM,MID,3640,70,EUR,2690,25,1.1667,actual,True
villarreal,laliga,2025-26,Yeremy Pino,W,FWD,2860,55,EUR,2660,24,0.9167,actual,True
villarreal,laliga,2025-26,Nicolas Pepe,W,FWD,3484,67,EUR,2630,23,1.1167,actual,True
villarreal,laliga,2025-26,Georges Mikautadze,ST,FWD,4576,88,EUR,2600,22,1.4667,actual,True
villarreal,laliga,2025-26,Luiz Júnior,GK,GK,2080,40,EUR,2900,32,0.6667,forced433,True
villarreal,laliga,2025-26,Logan Costa,CB,DEF,2080,40,EUR,2840,30,0.6667,forced433,True
villarreal,laliga,2025-26,Rafa Marín,CB,DEF,2340,45,EUR,2810,29,0.75,forced433,True
villarreal,laliga,2025-26,Juan Foyth,FB,DEF,4004,77,EUR,2870,31,1.2833,forced433,True
villarreal,laliga,2025-26,Alfonso Pedraza,FB,DEF,3328,64,EUR,2780,28,1.0667,forced433,True
villarreal,laliga,2025-26,Santi Comesaña,DM,MID,2080,40,EUR,2750,27,0.6667,forced433,True
villarreal,laliga,2025-26,Dani Parejo,CM,MID,3120,60,EUR,2720,26,1.0,forced433,True
villarreal,laliga,2025-26,Thomas Partey,CM,MID,3640,70,EUR,2690,25,1.1667,forced433,True
villarreal,laliga,2025-26,Yeremy Pino,W,FWD,2860,55,EUR,2660,24,0.9167,forced433,True
villarreal,laliga,2025-26,Nicolas Pepe,W,FWD,3484,67,EUR,2630,23,1.1167,forced433,True
villarreal,laliga,2025-26,Georges Mikautadze,ST,FWD,4576,88,EUR,2600,22,1.4667,forced433,True
sevilla,laliga,2025-26,Ørjan Nyland,GK,GK,1560,30,EUR,2900,32,0.75,actual,True
sevilla,laliga,2025-26,Juanlu Sánchez,FB,DEF,1300,25,EUR,2870,31,0.625,actual,True
sevilla,laliga,2025-26,Marcão,CB,DEF,4160,80,EUR,2840,30,2.0,actual,True
sevilla,laliga,2025-26,Kike Salas,CB,DEF,1560,30,EUR,2810,29,0.75,actual,True
sevilla,laliga,2025-26,Adrià Pedrosa,FB,DEF,1820,35,EUR,2780,28,0.875,actual,True
sevilla,laliga,2025-26,Djibril Sow,DM,MID,2860,55,EUR,2750,27,1.375,actual,True
sevilla,laliga,2025-26,Lucien Agoumé,CM,MID,2080,40,EUR,2720,26,1.0,actual,True
sevilla,laliga,2025-26,Saúl Ñíguez,CM,MID,3120,60,EUR,2690,25,1.5,actual,True
sevilla,laliga,2025-26,Alexis Sánchez,W,FWD,2600,50,EUR,2660,24,1.25,actual,True
sevilla,laliga,2025-26,Rubén Vargas,W,FWD,3640,70,EUR,2630,23,1.75,actual,True
sevilla,laliga,2025-26,Isaac Romero,ST,FWD,1560,30,EUR,2600,22,0.75,actual,True
sevilla,laliga,2025-26,Ørjan Nyland,GK,GK,1560,30,EUR,2900,32,0.75,forced433,True
sevilla,laliga,2025-26,Marcão,CB,DEF,4160,80,EUR,2840,30,2.0,forced433,True
sevilla,laliga,2025-26,Kike Salas,CB,DEF,1560,30,EUR,2810,29,0.75,forced433,True
sevilla,laliga,2025-26,Juanlu Sánchez,FB,DEF,1300,25,EUR,2870,31,0.625,forced433,True
sevilla,laliga,2025-26,Adrià Pedrosa,FB,DEF,1820,35,EUR,2780,28,0.875,forced433,True
sevilla,laliga,2025-26,Djibril Sow,DM,MID,2860,55,EUR,2750,27,1.375,forced433,True
sevilla,laliga,2025-26,Lucien Agoumé,CM,MID,2080,40,EUR,2720,26,1.0,forced433,True
sevilla,laliga,2025-26,Saúl Ñíguez,CM,MID,3120,60,EUR,2690,25,1.5,forced433,True
sevilla,laliga,2025-26,Alexis Sánchez,W,FWD,2600,50,EUR,2660,24,1.25,forced433,True
sevilla,laliga,2025-26,Rubén Vargas,W,FWD,3640,70,EUR,2630,23,1.75,forced433,True
sevilla,laliga,2025-26,Isaac Romero,ST,FWD,1560,30,EUR,2600,22,0.75,forced433,True
